matrix_representation	omitted_feature_family	reference_principal_component	reference_component_number	matched_reduced_principal_component	matched_reduced_component_number	retained_features	absolute_loading_correlation	sign_aligned_score_correlation	reference_explained_variance_ratio	reduced_explained_variance_ratio	absolute_variance_ratio_difference
raw_log2_change	igg_subclass_architecture	PC5	5	PC5	5	60	0.3978052735800028	0.4133657491682698	0.0362741812818357	0.0457518838162073	0.0094777025343716
raw_log2_change	neutralization	PC1	1	PC1	1	90	0.9998341114115946	0.9991878288779212	0.2145390438362991	0.2153932496231014	0.0008542057868022
raw_log2_change	neutralization	PC2	2	PC2	2	90	0.998298126653689	0.995445626256919	0.0982625087049002	0.0945978997408379	0.0036646089640623
raw_log2_change	neutralization	PC3	3	PC3	3	90	0.999860992731311	0.9998051705712664	0.063968207595044	0.0652646519300201	0.001296444334976
raw_log2_change	neutralization	PC4	4	PC4	4	90	0.9988650934800334	0.997179398751042	0.045535620129121	0.0461649399320658	0.0006293198029447
raw_log2_change	neutralization	PC5	5	PC5	5	90	0.9732491905009024	0.9736854726506649	0.0362741812818357	0.0368240300238035	0.0005498487419677
raw_log2_change	phagocytic_function	PC1	1	PC1	1	90	0.999974027470666	0.999889178484018	0.2145390438362991	0.2189318190075971	0.0043927751712979
raw_log2_change	phagocytic_function	PC2	2	PC2	2	90	0.9969666558685066	0.9919482808778874	0.0982625087049002	0.0941966225448506	0.0040658861600496
raw_log2_change	phagocytic_function	PC3	3	PC3	3	90	0.998259423366424	0.9965749466465872	0.063968207595044	0.0648571508216427	0.0008889432265986
raw_log2_change	phagocytic_function	PC4	4	PC4	4	90	0.9999706996704142	0.9999475769478536	0.045535620129121	0.0465447270212021	0.001009106892081
raw_log2_change	phagocytic_function	PC5	5	PC5	5	90	0.587635178086975	0.6080010345022283	0.0362741812818357	0.0365837718300579	0.0003095905482222
bpv_calibrated_log2_change	binding_antibody_abundance	PC1	1	PC1	1	49	0.99887274383224	0.9884857321603364	0.1779449910075275	0.2080191124339357	0.0300741214264082
bpv_calibrated_log2_change	binding_antibody_abundance	PC2	2	PC2	2	49	0.8970205590537961	0.804368541740441	0.1233383615473327	0.1275517902748202	0.0042134287274875
bpv_calibrated_log2_change	binding_antibody_abundance	PC3	3	PC3	3	49	0.8527579859981785	0.8298739652311659	0.0737943198650024	0.0984890917348435	0.0246947718698411
bpv_calibrated_log2_change	binding_antibody_abundance	PC4	4	PC4	4	49	0.8937485317139454	0.758540895368735	0.0679031490837442	0.0821601362768472	0.0142569871931029
bpv_calibrated_log2_change	binding_antibody_abundance	PC5	5	PC5	5	49	0.8960902540094673	0.8480844276022637	0.0507750175320992	0.072154869238012	0.0213798517059127
bpv_calibrated_log2_change	fc_receptor_communication	PC1	1	PC1	1	56	0.9715107419273208	0.9221343479877367	0.1779449910075275	0.17028163054164	0.0076633604658874
bpv_calibrated_log2_change	fc_receptor_communication	PC2	2	PC2	2	56	0.9544714766562084	0.9095664975192256	0.1233383615473327	0.1425549867145267	0.019216625167194
bpv_calibrated_log2_change	fc_receptor_communication	PC3	3	PC5	5	56	0.185841707181175	-0.0348588998652794	0.0737943198650024	0.0598772186060273	0.013917101258975
bpv_calibrated_log2_change	fc_receptor_communication	PC4	4	PC3	3	56	0.9280510485435666	0.8803880731114719	0.0679031490837442	0.0842182206772299	0.0163150715934856
bpv_calibrated_log2_change	fc_receptor_communication	PC5	5	PC4	4	56	0.8520419912127607	0.6385657039085512	0.0507750175320992	0.0748975352172742	0.0241225176851749
bpv_calibrated_log2_change	igg_subclass_architecture	PC1	1	PC1	1	49	0.9604193358838328	0.8796058461265235	0.1779449910075275	0.2078716200821496	0.0299266290746221
bpv_calibrated_log2_change	igg_subclass_architecture	PC2	2	PC2	2	49	0.8939150097106742	0.8846565024131858	0.1233383615473327	0.1439558393909906	0.0206174778436579
bpv_calibrated_log2_change	igg_subclass_architecture	PC3	3	PC4	4	49	0.8269392514362937	0.6475901854386398	0.0737943198650024	0.0759093600882992	0.0021150402232968
bpv_calibrated_log2_change	igg_subclass_architecture	PC4	4	PC3	3	49	0.9500397511989316	0.8233140975164979	0.0679031490837442	0.0922149893464693	0.024311840262725
bpv_calibrated_log2_change	igg_subclass_architecture	PC5	5	PC5	5	49	0.2799616116573362	0.2415480222582695	0.0507750175320992	0.0620115243883665	0.0112365068562672
